TIME,YIELDS
78,0.00751269
78.08,0.00751262
78.17,0.00751255
78.25,0.00751247
78.33,0.0075124
78.42,0.00751233
78.5,0.00751225
78.58,0.00751218
78.67,0.00751211
78.75,0.00751204
78.83,0.00751197
78.92,0.00751189
79,0.00751182
79.08,0.00751175
79.17,0.00751168
79.25,0.00751161
79.33,0.00751154
79.42,0.00751146
79.5,0.00751139
79.58,0.00751132
79.67,0.00751125
79.75,0.00751118
79.83,0.00751111
79.92,0.00751104
80,0.00751097
80.08,0.0075109
80.17,0.00751083
80.25,0.00751076
80.33,0.00751069
80.42,0.00751062
80.5,0.00751055
80.58,0.00751048
80.67,0.00751042
80.75,0.00751035
80.83,0.00751028
80.92,0.00751021
81,0.00751014
81.08,0.00751007
81.17,0.00751001
81.25,0.00750994
81.33,0.00750987
81.42,0.0075098
81.5,0.00750973
81.58,0.00750967
81.67,0.0075096
81.75,0.00750953
81.83,0.00750947
81.92,0.0075094
82,0.00750933
82.08,0.00750927
82.17,0.0075092
82.25,0.00750913
82.33,0.00750907
82.42,0.007509
82.5,0.00750894
82.58,0.00750887
82.67,0.0075088
82.75,0.00750874
82.83,0.00750867
82.92,0.00750861
83,0.00750854
83.08,0.00750848
83.17,0.00750841
83.25,0.00750835
83.33,0.00750828
83.42,0.00750822
83.5,0.00750816
83.58,0.00750809
83.67,0.00750803
83.75,0.00750796
83.83,0.0075079
83.92,0.00750784
84,0.00750777
84.08,0.00750771
84.17,0.00750765
84.25,0.00750758
84.33,0.00750752
84.42,0.00750746
84.5,0.00750739
84.58,0.00750733
84.67,0.00750727
84.75,0.00750721
84.83,0.00750714
84.92,0.00750708
85,0.00750702
85.08,0.00750696
85.17,0.0075069
85.25,0.00750683
85.33,0.00750677
85.42,0.00750671
85.5,0.00750665
85.58,0.00750659
85.67,0.00750653
85.75,0.00750647
85.83,0.00750641
85.92,0.00750635
86,0.00750628
86.08,0.00750622
86.17,0.00750616
86.25,0.0075061
86.33,0.00750604
86.42,0.00750598
86.5,0.00750592
86.58,0.00750586
86.67,0.0075058
86.75,0.00750574
86.83,0.00750569
86.92,0.00750563
87,0.00750557
87.08,0.00750551
87.17,0.00750545
87.25,0.00750539
87.33,0.00750533
87.42,0.00750527
87.5,0.00750521
87.58,0.00750516
87.67,0.0075051
87.75,0.00750504
87.83,0.00750498
87.92,0.00750492
88,0.00750486
88.08,0.00750481
88.17,0.00750475
88.25,0.00750469
88.33,0.00750463
88.42,0.00750458
88.5,0.00750452
88.58,0.00750446
88.67,0.00750441
88.75,0.00750435
88.83,0.00750429
88.92,0.00750424
89,0.00750418
89.08,0.00750412
89.17,0.00750407
89.25,0.00750401
89.33,0.00750395
89.42,0.0075039
89.5,0.00750384
89.58,0.00750379
89.67,0.00750373
89.75,0.00750367
89.83,0.00750362
89.92,0.00750356
90,0.00750351
90.08,0.00750345
90.17,0.0075034
90.25,0.00750334
90.33,0.00750329
90.42,0.00750323
90.5,0.00750318
90.58,0.00750312
90.67,0.00750307
90.75,0.00750301
90.83,0.00750296
90.92,0.00750291
91,0.00750285
91.08,0.0075028
91.17,0.00750274
91.25,0.00750269
91.33,0.00750264
91.42,0.00750258
91.5,0.00750253
91.58,0.00750248
91.67,0.00750242
91.75,0.00750237
91.83,0.00750232
91.92,0.00750226
92,0.00750221
92.08,0.00750216
92.17,0.0075021
92.25,0.00750205
92.33,0.007502
92.42,0.00750195
92.5,0.00750189
92.58,0.00750184
92.67,0.00750179
92.75,0.00750174
92.83,0.00750169
92.92,0.00750163
93,0.00750158
93.08,0.00750153
93.17,0.00750148
93.25,0.00750143
93.33,0.00750138
93.42,0.00750132
93.5,0.00750127
93.58,0.00750122
93.67,0.00750117
93.75,0.00750112
93.83,0.00750107
93.92,0.00750102
94,0.00750097
94.08,0.00750092
94.17,0.00750087
94.25,0.00750082
94.33,0.00750076
94.42,0.00750071
94.5,0.00750066
94.58,0.00750061
94.67,0.00750056
94.75,0.00750051
94.83,0.00750046
94.92,0.00750041
95,0.00750037
95.08,0.00750032
95.17,0.00750027
95.25,0.00750022
95.33,0.00750017
95.42,0.00750012
95.5,0.00750007
95.58,0.00750002
95.67,0.00749997
95.75,0.00749992
95.83,0.00749987
95.92,0.00749982
96,0.00749978
96.08,0.00749973
96.17,0.00749968
96.25,0.00749963
96.33,0.00749958
96.42,0.00749953
96.5,0.00749949
96.58,0.00749944
96.67,0.00749939
96.75,0.00749934
96.83,0.00749929
96.92,0.00749925
97,0.0074992
97.08,0.00749915
97.17,0.0074991
97.25,0.00749906
97.33,0.00749901
97.42,0.00749896
97.5,0.00749891
97.58,0.00749887
97.67,0.00749882
97.75,0.00749877
97.83,0.00749873
97.92,0.00749868
98,0.00749863
98.08,0.00749859
98.17,0.00749854
98.25,0.00749849
98.33,0.00749845
98.42,0.0074984
98.5,0.00749836
98.58,0.00749831
98.67,0.00749826
98.75,0.00749822
98.83,0.00749817
98.92,0.00749813
99,0.00749808
99.08,0.00749803
99.17,0.00749799
99.25,0.00749794
99.33,0.0074979
99.42,0.00749785
99.5,0.00749781
99.58,0.00749776
99.67,0.00749772
99.75,0.00749767
99.83,0.00749763
99.92,0.00749758
100,0.00749754
